image,text,text_someone,names,context
1004_Juno_00.06.58.989-00.07.02.387/0010.jpg,Juno dials a number on her hamburger-shaped phone.,Someone dials a number on her hamburger-shaped phone.,Juno,"Bedrooms, the light switch doubles as a doll's penis.
Naked dolls are clustered on the mantelpiece.
There's a photo of Bleeker playing his guitar."
1004_Juno_00.07.02.720-00.07.07.984/0004.jpg,A girl lying on her bed with a rabbit on her chest.,A girl lying on her bed with a rabbit on her chest.,,"Naked dolls are clustered on the mantelpiece.
There's a photo of Bleeker playing his guitar.
Juno dials a number on her hamburger-shaped phone."
1004_Juno_00.08.37.329-00.08.41.913/0006.jpg,The armchair is shoved into the back of a car.,The armchair is shoved into the back of a car.,,"Juno dials a number on her hamburger-shaped phone.
A girl lying on her bad with a rabbit on her chest answers.
They take up the armchair."
1004_Juno_00.09.40.941-00.09.44.478/0006.jpg,Bleeker brown and yellow sports kit.,Someone brown and yellow sports kit.,Bleeker,"They take up the armchair.
The armchair is shoved into the back of a car.
Bleeker hands Juno a note and she beams."
1004_Juno_00.11.26.688-00.11.31.035/0007.jpg,She gets on her bike.,She gets on her bike.,,"Juno blinks happily.
Bleeker swallows.
A thin smile flashes across Juno's heart-shaped face and she cuts a pipe between her teeth."
1004_Juno_00.11.34.670-00.11.37.337/0007.jpg,Juno cycles.,Someone cycles.,Juno,"Bleeker swallows.
A thin smile flashes across Juno's heart-shaped face and she cuts a pipe between her teeth.
She gets on her bike and rides off, leaving Bleeker clutching his sandwich."
1004_Juno_00.11.38.906-00.11.45.900/0010.jpg,She secures her bike with a chain lock.,She secures her bike with a chain lock.,,"A thin smile flashes across Juno's heart-shaped face and she cuts a pipe between her teeth.
She gets on her bike and rides off, leaving Bleeker clutching his sandwich.
Juno cycles up to Dancing Elk School."
1004_Juno_00.11.46.506-00.11.55.001/0012.jpg,"She makes her way past the oncoming throng of students, most of them taller than her.","She makes her way past the oncoming throng of students, most of them taller than her.",,"She gets on her bike and rides off, leaving Bleeker clutching his sandwich.
Juno cycles up to Dancing Elk School.
She parks her bike and secures it with a chain lock."
1004_Juno_00.11.55.001-00.11.56.357/0005.jpg,The locker door is plastered with photos and cuttings.,The locker door is plastered with photos and cuttings.,,"Juno cycles up to Dancing Elk School.
She parks her bike and secures it with a chain lock.
She makes her way past the oncoming throng of students, most of them taller than her, and reaches her locker."
1004_Juno_00.12.49.321-00.12.52.461/0009.jpg,"In class, Bleeker swallows some Tic Tacs as Juno stands by his side clutching her folders.","In class, Someone swallows some Tic Tacs as Someone stands by his side clutching her folders.","Bleeker
Juno","The locker door is plastered with photos and cuttings.
She pulls out a folder and some pages fall to the floor as a boy comes by.
Juno grins at her friend talking to a fat bearded teacher."
1004_Juno_00.12.57.662-00.12.59.948/0005.jpg,Another boy stands on the other side of the work table.,Another boy stands on the other side of the work table.,,"She pulls out a folder and some pages fall to the floor as a boy comes by.
Juno grins at her friend talking to a fat bearded teacher.
In class, Bleeker swallows some Tic Tacs as Juno appears by his side clutching her folders."
1004_Juno_00.13.12.950-00.13.14.030/0007.jpg,Another boy stands on the other side of the work table. A second girl turns up.,Another boy stands on the other side of the work table. A second girl turns up.,,"Juno grins at her friend talking to a fat bearded teacher.
In class, Bleeker swallows some Tic Tacs as Juno appears by his side clutching her folders.
Another boy stands on the other side of the work table."
1004_Juno_00.14.08.074-00.14.12.188/0006.jpg,Juno dials a number.,Someone dials a number.,Juno,"A second girl turns up.
Amanda leaves Josh open mouth.
Bleeker suppresses a smile."
1004_Juno_00.15.00.323-00.15.03.977/0010.jpg,She frowns at the phone.,She frowns at the phone.,,"Bleeker suppresses a smile.
Later, Juno dials a number.
She vigorously shakes the phone and something falls out."
1004_Juno_00.16.09.315-00.16.11.644/0010.jpg,Juno throws up in a decorative urn.,Someone throws up in a decorative urn.,Juno,"Later, Juno dials a number.
She vigorously shakes the phone and something falls out.
She frowns at the phone."
1004_Juno_00.16.17.805-00.16.19.086/0007.jpg,Juno's little sister sprinkles her food.,Someone's little sister sprinkles her food.,Juno,"She vigorously shakes the phone and something falls out.
She frowns at the phone.
Juno throws up in a decorative urn."
1004_Juno_00.16.34.030-00.16.36.162/0009.jpg,Liberty Bell smiles.,Someone smiles.,Liberty Bell,"She frowns at the phone.
Juno throws up in a decorative urn.
Juno's little sister sprinkles her food."
1004_Juno_00.17.47.985-00.17.51.984/0013.jpg,She faces the Women Now Center.,She faces the Women Now Center.,,"Liberty Bell smiles slowly.
Juno plods away past Su-Chin.
Juno stops in her tracks."
1004_Juno_00.17.52.537-00.17.55.547/0003.jpg,A punk girl sits in reception playing on her game console.,A punk girl sits in reception playing on her game console.,,"Juno plods away past Su-Chin.
Juno stops in her tracks.
She shrugs and walks on towards the door of the Women Now Center."
1004_Juno_00.17.55.617-00.18.01.875/0011.jpg,"In the lobby, Juno stands at the counter.","In the lobby, Someone stands at the counter.",Juno,"Juno stops in her tracks.
She shrugs and walks on towards the door of the Women Now Center.
A punk girl sits in reception playing on her game console."
1004_Juno_00.18.53.200-00.19.02.487/0007.jpg,"Juno fills in the form, sitting on a padded leather bench.","Someone fills in the form, sitting on a padded leather bench.",Juno,"Juno wanders into the lobby and steps up to the counter.
Juno nods obediently.
Juno takes the questionnaire clipboard to a padded leather bench and sits down."
1004_Juno_00.20.53.230-00.20.56.067/0011.jpg,They sit on a park bench scouring the paper.,They sit on a park bench scouring the paper.,,"A woman painting her nails, another scratching her arm, another using a nail file add to the crescendo of sound.
Juno drops her pen.
Su-Chin brightens."
1004_Juno_00.21.48.440-00.21.50.729/0011.jpg,Leah hands pipe smoking Juno an ad.,Someone hands pipe smoking Someone an ad.,"Leah
Juno","Juno drops her pen.
Su-Chin brightens.
They sit on a park bench scouring the paper."
1004_Juno_00.22.45.280-00.22.46.907/0006.jpg,"Scrunched in his fingers, he's holding the knickers she wore and discarded on the day they had sex.","Scrunched in his fingers, he's holding the knickers she wore and discarded on the day they had sex.",,"His other hand is clasped around a piece of cloth.
Bleeker's solidly built double-chinned mother closes the door of his bedroom.
He goes back to gazing at Juno's picture and brings his class pen from behind his head."
1004_Juno_00.24.29.690-00.24.31.200/0007.jpg,Leah pulls a face.,Someone pulls a face.,Leah,"At Juno's house, Leah watches apprehensively as Juno paces in front of her dad and her step mom.
Mac and Bren brace themselves.
Juno looks them both in the eye."
1004_Juno_00.26.16.240-00.26.19.446/0006.jpg,He runs his hands over his face.,He runs his hands over his face.,,"Leah pulls a face.
Juno meets her dad's bewildered gaze, then lets her head drop for a second before speaking.
Mac shakes his head as she turns on her heels and hightails upstairs with Leah behind her."
1004_Juno_00.27.01.930-00.27.03.397/0013.jpg,A slim woman arranges some white hydrangeas in a glass vase.,A slim woman arranges some white hydrangeas in a glass vase.,,"Juno meets her dad's bewildered gaze, then lets her head drop for a second before speaking.
Mac shakes his head as she turns on her heels and hightails upstairs with Leah behind her.
He runs his hands over his face."
1004_Juno_00.27.08.322-00.27.09.966/0007.jpg,She places some aromatic sticks into a bottle.,She places some aromatic sticks into a bottle.,,"He runs his hands over his face.
A slim young woman arranges some white hydrangeas in a glass vase.
White cuffed hands straightens a glass photo frame."
1004_Juno_00.27.12.530-00.27.18.410/0006.jpg,The blue Previa drives through the gates of the affluent looking Glacial Valley estate.,The blue Previa drives through the gates of the affluent looking Glacial Valley estate.,,"A slim young woman arranges some white hydrangeas in a glass vase.
White cuffed hands straightens a glass photo frame.
She places some aromatic sticks into a bottle."
1004_Juno_00.27.37.757-00.27.45.717/0007.jpg,The car is parked on the driveway in front of one house with a triple garage and box tree on the front lawn.,The car is parked on the driveway in front of one house with a triple garage and box tree on the front lawn.,,"She places some aromatic sticks into a bottle.
Mac with Juno beside him drives his blue Previa through the gates of the affluent looking Glacial Valley estate.
With a ring on the fourth finger of her left hand, fans out the display of coffee table magazines, straightens two monogram tan towels, and wipes a banister rail as Mac drives past a number of substantial houses set back from the road."
1004_Juno_00.27.56.885-00.28.02.210/0008.jpg,Mac and Juno wearing everyday casual clothes stroll up to the double-fronted door flanked by two slim furs. Mac wipes his feet on the doormat.,People wearing everyday casual clothes stroll up to the double-fronted door flanked by two slim furs. Someone wipes his feet on the doormat.,"Mac and Juno
Mac","With a ring on the fourth finger of her left hand, fans out the display of coffee table magazines, straightens two monogram tan towels, and wipes a banister rail as Mac drives past a number of substantial houses set back from the road.
He slows down in front of one house with a triple garage and box tree on the front lawn and pulls up onto the driveway.
As the woman carefully adjust the buttons on her pristine white cuffs, Mac and Juno wearing everyday casual clothes stroll up to the double-fronted door flanked by two slim furs."
1004_Juno_00.28.02.761-00.28.05.973/0009.jpg,The woman with neatly combed long dark hair opens the door with a bright smile.,The woman with neatly combed long dark hair opens the door with a bright smile.,,"He slows down in front of one house with a triple garage and box tree on the front lawn and pulls up onto the driveway.
As the woman carefully adjust the buttons on her pristine white cuffs, Mac and Juno wearing everyday casual clothes stroll up to the double-fronted door flanked by two slim furs.
Mac wipes his feet on the doormat."
1004_Juno_00.32.31.750-00.32.37.740/0011.jpg,"On the staircase, Juno in her loose checked shirt over jeans passes a lineup of post photos of Mark and Vanessa in white.","On the staircase, Someone in her loose checked shirt over jeans passes a lineup of post photos of People in white.","Juno
Mark and Vanessa","Juno's slaps Gerta's profit hand.
Vanessa purses her lips.
Vanessa looks penetratingly at Juno."
1004_Juno_00.32.47.837-00.32.50.832/0012.jpg,"There are several expensive looking bottles and jars grouped around the basin, next to an orchid in a pot.","There are several expensive looking bottles and jars grouped around the basin, next to an orchid in a pot.",,"Vanessa looks penetratingly at Juno.
On the staircase, Juno in her loose checked shirt over jeans passes a lineup of post photos of Mark and Vanessa in white.
She wonders into Vanessa's en suite bathroom and contemplates herself in the large mirror above the basin, smoothing the front of her hair."
1004_Juno_00.32.53.611-00.33.00.720/0011.jpg,She damps cream on her face.,She damps cream on her face.,,"On the staircase, Juno in her loose checked shirt over jeans passes a lineup of post photos of Mark and Vanessa in white.
She wonders into Vanessa's en suite bathroom and contemplates herself in the large mirror above the basin, smoothing the front of her hair.
There are several expensive looking bottles and jars grouped around the basin, next to a white orchid in a pot."
1004_Juno_00.33.00.777-00.33.03.663/0001.jpg,She does a bodybuilder type snarl and pose.,She does a bodybuilder type snarl and pose.,,"She wonders into Vanessa's en suite bathroom and contemplates herself in the large mirror above the basin, smoothing the front of her hair.
There are several expensive looking bottles and jars grouped around the basin, next to a white orchid in a pot.
Opening one jar, she scoops out a finger full of cream and damps it on her face."
1004_Juno_00.33.06.635-00.33.11.861/0010.jpg,"With a bottle of perfume in her hand, she rubs one wrist against the other.","With a bottle of perfume in her hand, she rubs one wrist against the other.",,"There are several expensive looking bottles and jars grouped around the basin, next to a white orchid in a pot.
Opening one jar, she scoops out a finger full of cream and damps it on her face.
Then does a bodybuilder type snarl and pose."
1004_Juno_00.34.57.448-00.35.00.299/0008.jpg,Mac points to something.,Someone points to something.,Mac,"Picking up a bottle of perfume, she sniffs it and sprays her wrist, rubbing it against the other wrist.
As she comes out of the bathroom, she collides with Mark.
Her eye lights on the guitar."
1004_Juno_00.35.25.670-00.35.29.340/0011.jpg,He and both women look up towards the floor above.,He and both women look up towards the floor above.,,"Mac points to some apparatus.
Vanessa smiles proudly.
Mac's attempted conversation is met with a baffled look."
1004_Juno_00.37.23.550-00.37.28.217/0010.jpg,Mark folds her in his arms.,Someone folds her in his arms.,Mark,"With a brittle smile, tall slim Vanessa hurries upstairs to find Mark and Juno duetting on guitars.
Mac is looking at some forms.
Mark closes the front door with a wry smile."
1004_Juno_00.38.18.523-00.38.20.099/0009.jpg,Bleeker alone on the running track.,Someone alone on the running track.,Bleeker,"Mac is looking at some forms.
Mark closes the front door with a wry smile.
Vanessa presses her hands together as if in prayer and lets him fold her in his arms."
1004_Juno_00.38.34.360-00.38.39.329/0007.jpg,The woman signs a pink form.,The woman signs a pink form.,,"Vijay speeds up leaving Bleeker alone on the running track.
Two boys pass him as he slows to a walk.
At school, a grey head starkly built woman in a mauve cardigan sits behind the desk looking disapprovingly at Juno bulging."
1004_Juno_00.39.20.440-00.39.25.832/0008.jpg,A technician spreads gel across Juno's distended belly with an ultrasound scan head.,A technician spreads gel across Someone's distended belly with an ultrasound scan head.,Juno,"At school, a grey head starkly built woman in a mauve cardigan sits behind the desk looking disapprovingly at Juno bulging.
The woman grudgingly signs a pink form and hands it to Juno.
Juno smiles sweetly and comes out into the corridor."
1004_Juno_00.39.26.159-00.39.32.029/0010.jpg,"On a monitor next to her, Juno watches patches of light and dark take on a recognizable shape.","On a monitor next to her, Someone watches patches of light and dark take on a recognizable shape.",Juno,"The woman grudgingly signs a pink form and hands it to Juno.
Juno smiles sweetly and comes out into the corridor.
A technician spreads gel across Juno's distended belly with an ultrasound scan head."
1004_Juno_00.41.19.790-00.41.23.457/0005.jpg,The technician with look that could kill.,The technician with look that could kill.,,"On a monitor next to her, Juno watches moving patches of light and dark take on a recognizable shape.
Leah and Bren sigh with delight.
Bren's lips tighten."
1004_Juno_00.42.23.671-00.42.28.660/0007.jpg,She peers in through an oval leaded windows.,She peers in through an oval leaded windows.,,"In her room, with its walls covered in drawings, Juno lies on her bed, her legs propped up on cushions, gazing at the ultrasound print.
She blinks thoughtfully and moments later is driving Mac's blue Previa out to Glacial Valley estate past its immaculate houses and lawns blanketed in snow.
As she runs up to the Lorings' front door, she smoothes down the hem of the skirt she wears over her jeans."
1004_Juno_00.43.43.790-00.43.45.370/0006.jpg,She shows the image.,She shows the image.,,"She blinks thoughtfully and moments later is driving Mac's blue Previa out to Glacial Valley estate past its immaculate houses and lawns blanketed in snow.
As she runs up to the Lorings' front door, she smoothes down the hem of the skirt she wears over her jeans.
She peers in through one of the two oval leaded windows."
1004_Juno_00.45.20.259-00.45.23.546/0008.jpg,Juno notices a VHS.,Someone notices a VHS.,Juno,"She peers in through one of the two oval leaded windows.
She shows Mark the image.
Mark seems to lose himself in the music, then he looks at Juno."
1004_Juno_00.45.57.520-00.46.00.430/0011.jpg,"In the film, a sinister man drives a stake through a woman's stomach.","In the film, a sinister man drives a stake through a woman's stomach.",,"Mark seems to lose himself in the music, then he looks at Juno.
Juno notices a VHS.
He snatches the tape from her and they watch the film."
1004_Juno_00.49.16.589-00.49.22.101/0007.jpg,Vanessa stands with her arms tightly folded.,Someone stands with her arms tightly folded.,Vanessa,"Juno shows Vanessa the picture.
Vanessa studies the image lengthwise and sideways.
Vanessa looks across at Mark, who shrugs brutally."
1004_Juno_00.49.33.079-00.49.38.199/0009.jpg,He opens the door to let her out.,He opens the door to let her out.,,"Vanessa studies the image lengthwise and sideways.
Vanessa looks across at Mark, who shrugs brutally.
Vanessa stands with her arms tightly folded."
1004_Juno_00.49.42.620-00.49.45.287/0011.jpg,Vanessa gives her husband a tight smile.,Someone gives her husband a tight smile.,Vanessa,"Vanessa looks across at Mark, who shrugs brutally.
Vanessa stands with her arms tightly folded.
He places Juno's bag over her shoulder and opens the door to let her out."
1004_Juno_00.49.45.620-00.49.52.436/0006.jpg,It's dark. Juno holds a drinks carton.,It's dark. Someone holds a drinks carton.,Juno,"Vanessa stands with her arms tightly folded.
He places Juno's bag over her shoulder and opens the door to let her out.
Vanessa gives her husband a tight smile."
1004_Juno_00.49.52.884-00.49.56.860/0008.jpg,Bren is cutting out pictures of dogs.,Someone is cutting out pictures of dogs.,Bren,"He places Juno's bag over her shoulder and opens the door to let her out.
Vanessa gives her husband a tight smile.
It's dark by the time Juno arrives home, sipping from a drinks carton."
1004_Juno_00.52.08.389-00.52.16.426/0008.jpg,Juno and Bleeker’s mother go up the stairs.,Someone and Someone’s mother go up the stairs.,"Juno
Bleeker","As Bren goes back to her paper dogs, Juno pours the dregs of her drink into Bren's ornament.
Outside, on the snowy street, Juno stops the Previa and eases off her grey overskirt.
Bleeker's mother opens her front door."
1004_Juno_00.52.42.883-00.52.47.880/0009.jpg,Juno eases herself into a chair with her legs apart.,Someone eases herself into a chair with her legs apart.,Juno,"Bleeker's mother opens her front door.
Juno races up the stairs outrunning Bleeker's mothers and getting to Bleeker's room before her.
Bleeker reaches for a box."
1004_Juno_00.54.31.945-00.54.33.621/0010.jpg,Juno suddenly looks glum.,Someone suddenly looks glum.,Juno,"Juno eases herself into a chair with her legs apart.
She slides onto the floor next to him.
They both look away awkwardly."
1004_Juno_00.56.28.936-00.56.31.990/0011.jpg,Juno and Leah are in the mall.,People are in the mall.,Juno and Leah,"Mark, standing next to her, arms folded, looks glum.
Playing nervously with the chain around her neck, Vanessa turns to the wall behind her.
Mark stares bleakly at the wall."
1004_Juno_00.56.46.928-00.56.53.951/0007.jpg,Juno and Leah are in the mall. They crouch down behind a glass balcony.,People are in the mall. They crouch down behind a glass balcony.,Juno and Leah,"Playing nervously with the chain around her neck, Vanessa turns to the wall behind her.
Mark stares bleakly at the wall.
Juno and Leah are in the mall."
1004_Juno_00.58.08.667-00.58.12.217/0008.jpg,Juno plants Vanessa's hand on her belly.,Someone plants Someone's hand on her belly.,"Juno
Vanessa","They walk into Vanessa.
Vanessa shakes her head in awe.
Juno winces."
1004_Juno_00.58.46.362-00.58.49.836/0002.jpg,"With a nervous glance about her, she places her hands on Juno's belly.","With a nervous glance about her, she places her hands on Someone's belly.",Juno,"Vanessa shakes her head.
Vanessa's beautiful sculpted face tightens self- consciously.
Then, she drops to her knees in front of Juno"
1004_Juno_00.59.26.393-00.59.41.540/0010.jpg,"Juno, standing over her, watches with a mixture of fondness and pride.","Someone, standing over her, watches with a mixture of fondness and pride.",Juno,"Then, she drops to her knees in front of Juno
and with a nervous glance about her She places her hands on Juno's belly.
Her eyes widen excitedly."
1004_Juno_01.00.07.783-01.00.10.198/0011.jpg,She gives a satisfied smile as she tests the elastic.,She gives a satisfied smile as she tests the elastic.,,"Her eyes widen excitedly.
Juno, standing over her, watches her with a mixture of fondness and pride, as Vanessa gazes at the swollen belly like a love struck puppy.
Bren, at the sewing machine, cuts the top of a pair of jeans and sews on an elasticated band."
1004_Juno_01.00.13.472-01.00.14.546/0009.jpg,Her hands long in the pockets of her baggy tartan parker.,Her hands long in the pockets of her baggy tartan parker.,,"Bren, at the sewing machine, cuts the top of a pair of jeans and sews on an elasticated band.
She gives a satisfied smile as she tests the elastic.
Juno, wearing the adapted jeans, comes down the school."
1004_Juno_01.00.14.880-01.00.17.272/0007.jpg,"Her fellow students, staring at her belly, clear a path to let her pass.","Her fellow students, staring at her belly, clear a path to let her pass.",,"She gives a satisfied smile as she tests the elastic.
Juno, wearing the adapted jeans, comes down the school.
Her hands long in the pockets of her baggy tartan parker."
1004_Juno_01.00.20.874-01.00.26.338/0003.jpg,Mark's at home composing.,Someone's at home composing.,Mark,"Juno, wearing the adapted jeans, comes down the school.
Her hands long in the pockets of her baggy tartan parker.
Her fellow students, staring at her belly, clear a path to let her pass."
1004_Juno_01.03.04.537-01.03.07.246/0001.jpg,"At his locker, Bleeker knocks back.","At his locker, Someone knocks back.",Bleeker,"Mark's at home composing.
In the school canteen, the two girls eat their lunch in an empty school awards booth.
Leah gazes adoringly at the tubby bearded teacher."
1004_Juno_01.05.50.709-01.05.56.164/0007.jpg,She puts on some lip balm.,She puts on some lip balm.,,"Bleeker's head drops miserably.
She strides away with her canvas bag over her shoulder, leaving Bleeker standing by his locker, watching her glumly.
Juno hoists herself up into her dad's Previa."
1004_Juno_01.06.01.866-01.06.07.572/0006.jpg,"Mark, surfing on his PC.","Someone, surfing on his PC.",Mark,"She strides away with her canvas bag over her shoulder, leaving Bleeker standing by his locker, watching her glumly.
Juno hoists herself up into her dad's Previa.
She puts on some lip balm and starts the engine."
1004_Juno_01.07.52.121-01.07.58.378/0012.jpg,Her hands grab his waist.,Her hands grab his waist.,,"She follows him downstairs.
He leads her into a cluttered basement room.
She reads a title."
1004_Juno_01.08.30.310-01.08.34.190/0007.jpg,"Mark, with his chin brushing against her hair, seems unsettled.","Someone, with his chin brushing against her hair, seems unsettled.",Mark,"Her hands grab his waist.
He brings the up to his neck.
With his hands round her waist, her belly touching his, she closes her eyes and rests her head on his chest, as they slowly sway together."
1004_Juno_01.08.42.618-01.08.44.866/0006.jpg,Juno looks up startled.,Someone looks up startled.,Juno,"He brings the up to his neck.
With his hands round her waist, her belly touching his, she closes her eyes and rests her head on his chest, as they slowly sway together.
Mark, with his chin brushing against her hair, seems unsettled."
1004_Juno_01.10.34.899-01.10.35.933/0008.jpg,"Vanessa, loaded down with shopping, comes into her pristine white kitchen.","Someone, loaded down with shopping, comes into her pristine white kitchen.",Vanessa,"Mark, with his chin brushing against her hair, seems unsettled.
Juno looks up startled.
Juno stares at him in bewilderment."
1004_Juno_01.13.24.670-01.13.29.440/0013.jpg,"Vanessa, sitting on the stairs, gazes unhappily into space.","Someone, sitting on the stairs, gazes unhappily into space.",Vanessa,"Juno bolts out of the door.
Clutching her belly she waddles out to the Previa.
Mark, in his rock T-shirt, over a long sleeved undershirt looks coldly at Vanessa and goes back to his room."
1004_Juno_01.13.30.624-01.13.36.780/0004.jpg,"Beneath a cloudy sky, Juno drives under a road bridge.","Beneath a cloudy sky, Someone drives under a road bridge.",Juno,"Clutching her belly she waddles out to the Previa.
Mark, in his rock T-shirt, over a long sleeved undershirt looks coldly at Vanessa and goes back to his room.
Vanessa sinks down on the stairs and gazes unhappily into space."
1004_Juno_01.13.37.340-01.13.46.821/0007.jpg,She drives next to a sward of dull green grass dotted with patches of spring snow.,She drives next to a sward of dull green grass dotted with patches of spring snow.,,"Mark, in his rock T-shirt, over a long sleeved undershirt looks coldly at Vanessa and goes back to his room.
Vanessa sinks down on the stairs and gazes unhappily into space.
Beneath a cloudy sky, Juno drives under a road bridge, passing a freight train on one side."
1004_Juno_01.13.50.544-01.13.57.344/0010.jpg,She runs her hand over her own belly as cries.,She runs her hand over her own belly as cries.,,"Vanessa sinks down on the stairs and gazes unhappily into space.
Beneath a cloudy sky, Juno drives under a road bridge, passing a freight train on one side.
She pulls off the main carriage way onto the soft shoulder, next to a sward of dull green grass dotted with patches of spring snow."
1004_Juno_01.14.54.939-01.15.01.302/0007.jpg,"Up in his room, Bleeker is playing his guitar.","Up in his room, Someone is playing his guitar.",Bleeker,"Her eyes stare straight ahead, not looking at anything in particular.
And she starts to calm down.
The car lights flash and she pulls back on to the road and drives off."
1004_Juno_01.15.11.793-01.15.20.840/0009.jpg,"It's after dark. On the bonnet of the van, her head resting on the sloping front windscreen, with her hands tuck behind her back staring up at the sky.","It's after dark. On the bonnet of the van, her head resting on the sloping front windscreen, with her hands tuck behind her back staring up at the sky.",,"The car lights flash and she pulls back on to the road and drives off.
Up in his room, Bleeker is playing his guitar.
It's after dark."
1004_Juno_01.15.23.732-01.15.29.216/0010.jpg,She climbs into the van.,She climbs into the van.,,"Up in his room, Bleeker is playing his guitar.
It's after dark.
 On the bonnet of the van, her head resting on the sloping front windscreen, with her hands tuck behind her back staring up at the sky."
1004_Juno_01.15.37.217-01.15.39.831/0009.jpg,She smoothes out a crumpled receipt on the steering wheel.,She smoothes out a crumpled receipt on the steering wheel.,,"On the bonnet of the van, her head resting on the sloping front windscreen, with her hands tuck behind her back staring up at the sky.
She suddenly raises herself onto her elbows and climbs back into the van.
She rummages behind her and finds a crumpled receipt."
1004_Juno_01.15.47.858-01.15.49.747/0007.jpg,"In her immaculate house, Vanessa is sitting alone at the dining room table, sipping a glass of red wine.","In her immaculate house, Someone is sitting alone at the dining room table, sipping a glass of red wine.",Vanessa,"She suddenly raises herself onto her elbows and climbs back into the van.
She rummages behind her and finds a crumpled receipt.
She smoothes it out on the steering wheel of the van and starts to write on it."
1004_Juno_01.15.50.080-01.15.54.194/0009.jpg,Mark comes downstairs.,Someone comes downstairs.,Mark,"She rummages behind her and finds a crumpled receipt.
She smoothes it out on the steering wheel of the van and starts to write on it.
In her immaculate house, Vanessa is sitting alone at the dining room table, sipping a glass of red wine."
1004_Juno_01.16.29.732-01.16.33.010/0009.jpg,A faintly smug smile flickers across his face.,A faintly smug smile flickers across his face.,,"In her immaculate house, Vanessa is sitting alone at the dining room table, sipping a glass of red wine.
Mark comes downstairs.
He comes towards her and pulls up a chair."
1004_Juno_01.16.49.556-01.16.53.267/0003.jpg,Mark opens the front door.,Someone opens the front door.,Mark,"Mark comes downstairs.
He comes towards her and pulls up a chair.
A faintly smug smile flickers across his face."
1004_Juno_01.17.06.670-01.17.16.515/0005.jpg,"The wooden slatted house, where the porch light illuminates a straw heart hanging on the door knocker.","The wooden slatted house, where the porch light illuminates a straw heart hanging on the door knocker.",,"Mark, opening the front door, catches sight of Juno driving off.
At his feet, he finds the note she left.
Vanessa grabs it from him and they both read it."
